-0.00670167	3.04119	1	1	-0.00670167	3.04119	-0.0118	2.9997	-0.0785	0.9969
-0.406888	3.14874	-0.988761	0.273149	-0.407	3.1487	-0.0712	3.395	-0.2028	0.9792
-0.344255	3.87411	0.288213	1.34472	-0.263977	4.09951	-0.1797	3.7797	-0.3239	0.9461
-0.388459	4.32786	-0.197381	1.10998	-0.4081	4.3157	-0.3356	4.1478	-0.4399	0.898
-0.560238	4.72977	-0.445238	1.01286	-0.566149	4.70697	-0.5364	4.4935	-0.549	0.8358
-0.599311	4.77418	-0.0618954	-0.0118317	-0.5816	4.7048	-0.7789	4.8112	-0.6494	0.7604
-0.781527	5.07447	-0.515775	1.057	-0.799676	5.06456	-1.0593	5.0961	-0.7396	0.673
-1.34557	5.4631	-1.48598	0.966609	-1.383	5.4607	-1.3732	5.3436	-0.8181	0.575
-1.75396	5.61002	-0.959039	0.234728	-1.72607	5.55229	-1.7157	5.5498	-0.8838	0.4679
-2.01113	5.8173	-0.657488	0.532904	-2.0025	5.833	-2.0813	5.7114	-0.9354	0.3535
-2.58171	5.59452	-1.72127	-0.00379609	-2.42016	5.14203	-2.4643	5.8259	-0.9724	0.2334
-2.8642	5.97964	-0.774486	1.01076	-2.839	6.0326	-2.8586	5.8916	-0.994	0.1097
-3.25057	6.00601	-1.13503	0.306411	-3.13731	5.72777	-3.258	5.9073	-0.9999	-0.0157
-3.66297	5.98709	-1.00336	-0.0883728	-3.6523	5.9616	-3.6563	5.8728	-0.99	-0.1409
-4.12593	5.7943	-1.12008	-0.582572	-4.15199	5.78394	-4.0471	5.7886	-0.9646	-0.2639
-3.91459	5.65141	0.510226	-0.506634	-3.8441	5.6287	-4.4242	5.6562	-0.9239	-0.3827
-4.30864	5.37935	-1.20061	-0.541831	-4.39535	5.29737	-4.7818	5.4775	-0.8686	-0.4955
-4.72602	5.37385	-1.08439	0.0161901	-4.7295	5.4036	-5.1142	5.2554	-0.7997	-0.6004
-5.17839	5.04124	-1.00607	-1.02666	-5.21248	5.00899	-5.4161	4.9934	-0.7181	-0.6959
-5.43447	4.58639	-0.616108	-1.17849	-5.4126	4.572	-5.6828	4.6957	-0.6253	-0.7804
-5.87557	4.27047	-1.08675	-0.798531	-5.97839	4.34697	-5.9101	4.3668	-0.5225	-0.8526
-5.97908	4.11677	-0.228343	-0.458054	-5.9362	4.1178	-6.0944	4.0121	-0.4115	-0.9114
-6.29517	3.57176	-0.738612	-1.49097	-6.37447	3.51467	-6.2327	3.6371	-0.2941	-0.9558
-6.17827	3.31337	0.292191	-0.757848	-6.1309	3.328	-6.323	3.2476	-0.1719	-0.9851
-5.97401	2.90333	0.482404	-1.02314	-5.91137	2.86349	-6.3637	2.85	-0.0471	-0.9989
-5.95918	2.41007	0.00556037	-1.1989	-5.9858	2.4094	-6.3543	2.4503	0.0784	-0.9969
-6.2085	1.82855	-0.138882	-1.64294	-6.5696	1.88906	-6.2949	2.055	0.2028	-0.9792
-6.11732	1.60298	0.234744	-0.590932	-6.1023	1.6387	-6.1864	1.6703	0.3239	-0.9461
-6.22965	1.56891	0.345837	-0.197712	-6.65176	1.70338	-6.0305	1.3022	0.4399	-0.898
-5.84139	0.96418	1.09016	-1.51003	-5.7841	0.9118	-5.8297	0.9566	0.549	-0.8358
-5.50534	0.659658	1.05678	-0.721508	-5.65812	0.717252	-5.5872	0.6388	0.6494	-0.7604
-5.09529	0.2143	1.0179	-1.12786	-5.0976	0.1994	-5.3068	0.3539	0.7396	-0.673
-4.84693	0.0909111	0.582133	-0.250909	-4.88378	0.133324	-4.9928	0.1064	0.8181	-0.575
-4.79156	-0.00844681	0.0794817	-0.259996	-4.8251	-0.0099	-4.6504	-0.0997	0.8838	-0.468
-4.78124	-0.0378671	0.436173	-0.0516561	-5.00119	-0.0329716	-4.2848	-0.2614	0.9354	-0.3535
